X,Y,id,type,name,floor
195.864899187223,436.403637348799,1,walk,"1",1
195.870190118456,435.403651345873,1,walk,"1",1
195.875481049688,434.403665342948,1,walk,"1",1
195.88077198092,433.403679340023,1,walk,"1",1
195.886062912153,432.403693337097,1,walk,"1",1
195.891353843385,431.403707334172,1,walk,"1",1
195.896644774618,430.403721331246,1,walk,"1",1
195.90193570585,429.403735328321,1,walk,"1",1
195.907226637082,428.403749325396,1,walk,"1",1
195.912517568315,427.40376332247,1,walk,"1",1
195.917808499547,426.403777319545,1,walk,"1",1
195.92309943078,425.403791316619,1,walk,"1",1
195.928390362012,424.403805313694,1,walk,"1",1
195.933681293244,423.403819310769,1,walk,"1",1
195.938972224477,422.403833307843,1,walk,"1",1
195.944263155709,421.403847304918,1,walk,"1",1
195.949554086942,420.403861301992,1,walk,"1",1
195.954845018174,419.403875299067,1,walk,"1",1
195.960135949406,418.403889296142,1,walk,"1",1
195.965426880639,417.403903293216,1,walk,"1",1
195.970717811871,416.403917290291,1,walk,"1",1
195.976008743104,415.403931287366,1,walk,"1",1
195.981299674336,414.40394528444,1,walk,"1",1
195.986590605569,413.403959281515,1,walk,"1",1
195.991881536801,412.403973278589,1,walk,"1",1
195.997172468033,411.403987275664,1,walk,"1",1
196.002463399266,410.404001272739,1,walk,"1",1
195.419933995265,409.988733672423,1,walk,"1",1
194.419933995265,409.988733672423,1,walk,"1",1
193.419933995265,409.988733672423,1,walk,"1",1
192.419933995265,409.988733672423,1,walk,"1",1
191.419933995265,409.988733672423,1,walk,"1",1
190.419933995265,409.988733672423,1,walk,"1",1
189.419933995265,409.988733672423,1,walk,"1",1
188.419933995265,409.988733672423,1,walk,"1",1
187.419933995265,409.988733672423,1,walk,"1",1
186.419933995265,409.988733672423,1,walk,"1",1
185.419933995265,409.988733672423,1,walk,"1",1
184.419933995265,409.988733672423,1,walk,"1",1
183.419933995265,409.988733672423,1,walk,"1",1
182.419933995265,409.988733672423,1,walk,"1",1
182.078062566335,409.988733672423,1,walk,"1",1
183.078062566335,409.988733672423,1,walk,"1",1
184.078062566335,409.988733672423,1,walk,"1",1
185.078062566335,409.988733672423,1,walk,"1",1
186.078062566335,409.988733672423,1,walk,"1",1
187.078062566335,409.988733672423,1,walk,"1",1
188.078062566335,409.988733672423,1,walk,"1",1
189.078062566335,409.988733672423,1,walk,"1",1
190.078062566335,409.988733672423,1,walk,"1",1
191.078062566335,409.988733672423,1,walk,"1",1
192.078062566335,409.988733672423,1,walk,"1",1
193.078062566335,409.988733672423,1,walk,"1",1
194.078062566335,409.988733672423,1,walk,"1",1
195.078062566335,409.988733672423,1,walk,"1",1
196.078062566335,409.988733672423,1,walk,"1",1
197.078062566335,409.988733672423,1,walk,"1",1
198.078062566335,409.988733672423,1,walk,"1",1
199.078062566335,409.988733672423,1,walk,"1",1
200.078062566335,409.988733672423,1,walk,"1",1
201.078062566335,409.988733672423,1,walk,"1",1
