X,Y,id,type,name,floor,distance,angle
195.864899187223,436.403637348799,1,walk,"1",1,0,179.696850556286
195.870190118456,435.403651345873,1,walk,"1",1,1,179.696850556286
195.875481049688,434.403665342948,1,walk,"1",1,2,179.696850556286
195.88077198092,433.403679340023,1,walk,"1",1,3,179.696850556286
195.886062912153,432.403693337097,1,walk,"1",1,4,179.696850556286
195.891353843385,431.403707334172,1,walk,"1",1,5,179.696850556286
195.896644774618,430.403721331246,1,walk,"1",1,6,179.696850556286
195.90193570585,429.403735328321,1,walk,"1",1,7,179.696850556286
195.907226637082,428.403749325396,1,walk,"1",1,8,179.696850556286
195.912517568315,427.40376332247,1,walk,"1",1,9,179.696850556286
195.917808499547,426.403777319545,1,walk,"1",1,10,179.696850556286
195.92309943078,425.403791316619,1,walk,"1",1,11,179.696850556286
195.928390362012,424.403805313694,1,walk,"1",1,12,179.696850556286
195.933681293244,423.403819310769,1,walk,"1",1,13,179.696850556286
195.938972224477,422.403833307843,1,walk,"1",1,14,179.696850556286
195.944263155709,421.403847304918,1,walk,"1",1,15,179.696850556286
195.949554086942,420.403861301992,1,walk,"1",1,16,179.696850556286
195.954845018174,419.403875299067,1,walk,"1",1,17,179.696850556286
195.960135949406,418.403889296142,1,walk,"1",1,18,179.696850556286
195.965426880639,417.403903293216,1,walk,"1",1,19,179.696850556286
195.970717811871,416.403917290291,1,walk,"1",1,20,179.696850556286
195.976008743104,415.403931287366,1,walk,"1",1,21,179.696850556286
195.981299674336,414.40394528444,1,walk,"1",1,22,179.696850556286
195.986590605569,413.403959281515,1,walk,"1",1,23,179.696850556286
195.991881536801,412.403973278589,1,walk,"1",1,24,179.696850556286
195.997172468033,411.403987275664,1,walk,"1",1,25,179.696850556286
196.002463399266,410.404001272739,1,walk,"1",1,26,179.696850556286
195.419933995265,409.988733672423,1,walk,"1",1,27,270
194.419933995265,409.988733672423,1,walk,"1",1,28,270
193.419933995265,409.988733672423,1,walk,"1",1,29,270
192.419933995265,409.988733672423,1,walk,"1",1,30,270
191.419933995265,409.988733672423,1,walk,"1",1,31,270
190.419933995265,409.988733672423,1,walk,"1",1,32,270
189.419933995265,409.988733672423,1,walk,"1",1,33,270
188.419933995265,409.988733672423,1,walk,"1",1,34,270
187.419933995265,409.988733672423,1,walk,"1",1,35,270
186.419933995265,409.988733672423,1,walk,"1",1,36,270
185.419933995265,409.988733672423,1,walk,"1",1,37,270
184.419933995265,409.988733672423,1,walk,"1",1,38,270
183.419933995265,409.988733672423,1,walk,"1",1,39,270
182.419933995265,409.988733672423,1,walk,"1",1,40,270
182.078062566335,409.988733672423,1,walk,"1",1,41,90
183.078062566335,409.988733672423,1,walk,"1",1,42,90
184.078062566335,409.988733672423,1,walk,"1",1,43,90
185.078062566335,409.988733672423,1,walk,"1",1,44,90
186.078062566335,409.988733672423,1,walk,"1",1,45,90
187.078062566335,409.988733672423,1,walk,"1",1,46,90
188.078062566335,409.988733672423,1,walk,"1",1,47,90
189.078062566335,409.988733672423,1,walk,"1",1,48,90
190.078062566335,409.988733672423,1,walk,"1",1,49,90
191.078062566335,409.988733672423,1,walk,"1",1,50,90
192.078062566335,409.988733672423,1,walk,"1",1,51,90
193.078062566335,409.988733672423,1,walk,"1",1,52,90
194.078062566335,409.988733672423,1,walk,"1",1,53,90
195.078062566335,409.988733672423,1,walk,"1",1,54,90
196.078062566335,409.988733672423,1,walk,"1",1,55,90
197.078062566335,409.988733672423,1,walk,"1",1,56,90
198.078062566335,409.988733672423,1,walk,"1",1,57,90
199.078062566335,409.988733672423,1,walk,"1",1,58,90
200.078062566335,409.988733672423,1,walk,"1",1,59,90
201.078062566335,409.988733672423,1,walk,"1",1,60,90
202.078062566335,409.988733672423,1,walk,"1",1,61,90
203.078062566335,409.988733672423,1,walk,"1",1,62,90
204.078062566335,409.988733672423,1,walk,"1",1,63,90
205.078062566335,409.988733672423,1,walk,"1",1,64,90
206.078062566335,409.988733672423,1,walk,"1",1,65,90
207.078062566335,409.988733672423,1,walk,"1",1,66,90
208.078062566335,409.988733672423,1,walk,"1",1,67,90
209.078062566335,409.988733672423,1,walk,"1",1,68,90
210.078062566335,409.988733672423,1,walk,"1",1,69,90
211.078062566335,409.988733672423,1,walk,"1",1,70,90
212.078062566335,409.988733672423,1,walk,"1",1,71,90
213.078062566335,409.988733672423,1,walk,"1",1,72,90
214.078062566335,409.988733672423,1,walk,"1",1,73,90
215.078062566335,409.988733672423,1,walk,"1",1,74,90
216.078062566335,409.988733672423,1,walk,"1",1,75,90
217.078062566335,409.988733672423,1,walk,"1",1,76,90
218.078062566335,409.988733672423,1,walk,"1",1,77,90
219.078062566335,409.988733672423,1,walk,"1",1,78,90
220.078062566335,409.988733672423,1,walk,"1",1,79,90
221.078062566335,409.988733672423,1,walk,"1",1,80,90
222.078062566335,409.988733672423,1,walk,"1",1,81,90
223.078062566335,409.988733672423,1,walk,"1",1,82,90
224.078062566335,409.988733672423,1,walk,"1",1,83,90
225.078062566335,409.988733672423,1,walk,"1",1,84,90
226.078062566335,409.988733672423,1,walk,"1",1,85,90
227.078062566335,409.988733672423,1,walk,"1",1,86,90
228.078062566335,409.988733672423,1,walk,"1",1,87,90
229.078062566335,409.988733672423,1,walk,"1",1,88,90
230.078062566335,409.988733672423,1,walk,"1",1,89,90
231.078062566335,409.988733672423,1,walk,"1",1,90,90
232.078062566335,409.988733672423,1,walk,"1",1,91,90
233.078062566335,409.988733672423,1,walk,"1",1,92,90
234.078062566335,409.988733672423,1,walk,"1",1,93,90
