X,Y,id,type,name,floor
240.588545623416,412.224915994232,1,D,D,1
236.675226560249,421.449168071697,2,D,D,1
236.535465165136,427.45890806156,3,D,D,1
223.118371234278,418.374417379209,4,D,D,1
223.118371234278,424.663680159298,5,D,D,1
220.183381936903,427.45890806156,6,D,D,1
212.496505205682,418.514178774322,7,D,D,1
203.971060103783,423.82511178862,8,D,D,1
202.573446152652,424.663680159298,9,D,D,1
197.96132011392,431.791511310066,10,D,D,1
193.768478260527,422.986543417941,11,D,D,1
204.949389869575,407.473028560387,12,D,D,1
225.494314951201,407.333267165274,13,D,D,1
227.031690297445,407.752551350613,14,D,D,1
201.175832201521,408.032074140839,15,D,D,1
249.113990725315,409.988733672423,15,D,D,1
181.329714095461,409.918852974866,16,D,D,1
195.864899187223,436.473518046355,17,D,D,1
234.299282843326,436.054233861016,18,D,D,1
